timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8919,5313,9501,1625
100,8924,5329,9501,1629
200,8923,5319,9498,1623
300,8927,5324,9504,1623
400,8934,5325,9505,1631
500,8920,5322,9503,1624
600,8914,5324,9509,1626
700,8925,5320,9505,1621
800,8914,5315,9495,1624
900,8924,5315,9507,1618
1000,8932,5313,9508,1625
1100,8927,5324,9505,1629
1200,8918,5325,9509,1628
1300,8921,5320,9502,1626
1400,8918,5322,9504,1646
1500,8935,5324,9506,1610
1600,8917,5317,9506,1635
1700,8932,5326,9501,1612
1800,8920,5321,9505,1626
1900,8926,5328,9500,1630
2000,8923,5329,9504,1632
2100,8928,5316,9505,1619
2200,8926,5322,9508,1628
2300,8918,5317,9502,1627
2400,8922,5319,9502,1631
2500,8917,5324,9505,1633
2600,8925,5316,9503,1627
2700,8927,5317,9502,1629
2800,8930,5319,9502,1630
2900,8916,5323,9502,1633
3000,8921,5327,9504,1634
3100,8932,5323,9505,1644
3200,8924,5320,9499,1625
3300,8914,5322,9505,1635
3400,8918,5324,9501,1644
3500,8927,5325,9503,1639
3600,8918,5316,9509,1639
3700,8925,5320,9507,1635
3800,8923,5318,9507,1633
3900,8928,5319,9506,1638
4000,8923,5328,9501,1647
4100,8919,5325,9502,1641
4200,8930,5328,9509,1640
4300,8922,5319,9510,1633
4400,8912,5315,9501,1642
4500,8925,5322,9509,1639
4600,8923,5317,9505,1642
4700,8933,5328,9500,1633
4800,8918,5319,9507,1633
4900,8941,5317,9509,1630
5000,8914,5322,9506,1635
5100,8925,5316,9496,1619
5200,8922,5326,9508,1632
5300,8921,5323,9509,1630
5400,8928,5318,9506,1626
5500,8929,5317,9501,1632
5600,8924,5322,9506,1635
5700,8927,5320,9512,1629
5800,8926,5319,9501,1640
5900,8919,5330,9511,1629
6000,8917,5321,9498,1632
6100,8927,5313,9508,1639
6200,8929,5314,9492,1629
6300,8922,5325,9502,1639
6400,8923,5325,9504,1645
6500,8923,5321,9510,1628
6600,8926,5320,9504,1634
6700,8924,5319,9507,1634
6800,8924,5316,9501,1639
6900,8926,5310,9501,1625
7000,8923,5321,9508,1638
7100,8928,5311,9498,1632
7200,8934,5323,9497,1642
7300,8935,5318,9500,1624
7400,8930,5318,9502,1634
7500,8928,5328,9499,1624
7600,8926,5325,9491,1635
7700,8931,5316,9498,1635
7800,8929,5326,9503,1637
7900,8926,5320,9499,1635
8000,8933,5321,9493,1638
8100,8925,5321,9502,1635
8200,8921,5329,9496,1653
8300,8922,5319,9493,1630
8400,8932,5322,9500,1636
8500,8921,5319,9497,1632
8600,8932,5317,9492,1637
8700,8924,5318,9486,1635
8800,8933,5318,9503,1632
8900,8930,5321,9492,1632
9000,8918,5318,9499,1630
9100,8923,5315,9493,1635
9200,8934,5315,9500,1635
9300,8927,5317,9495,1633
9400,8927,5320,9498,1638
9500,8923,5324,9508,1635
9600,8932,5317,9505,1631
9700,8934,5323,9502,1633
9800,8932,5313,9495,1638
9900,8929,5318,9500,1633
