timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,9119,5357,9268,1938
100,9119,5367,9255,1919
200,9113,5358,9260,1944
300,9121,5358,9269,1937
400,9110,5363,9262,1957
500,9128,5367,9257,1934
600,9114,5359,9249,1931
700,9113,5365,9252,1954
800,9107,5364,9259,1944
900,9114,5365,9258,1944
1000,9110,5359,9258,1945
1100,9107,5364,9250,1933
1200,9110,5358,9267,1931
1300,9099,5361,9252,1937
1400,9106,5368,9269,1934
1500,9104,5362,9261,1932
1600,9107,5363,9249,1938
1700,9107,5361,9260,1933
1800,9116,5359,9257,1936
1900,9125,5353,9259,1943
2000,9118,5368,9264,1937
2100,9118,5365,9258,1937
2200,9112,5359,9257,1932
2300,9116,5364,9257,1943
2400,9114,5368,9256,1933
2500,9112,5368,9251,1936
2600,9119,5365,9248,1949
2700,9128,5369,9254,1942
2800,9105,5363,9258,1938
2900,9103,5361,9258,1940
3000,9111,5359,9264,1943
3100,9126,5357,9245,1934
3200,9107,5366,9261,1943
3300,9110,5359,9254,1938
3400,9114,5363,9257,1939
3500,9108,5360,9268,1944
3600,9115,5359,9255,1941
3700,9104,5366,9252,1927
3800,9109,5352,9260,1939
3900,9113,5362,9261,1937
4000,9108,5367,9249,1935
4100,9118,5359,9266,1941
4200,9109,5366,9259,1940
4300,9116,5364,9261,1940
4400,9109,5365,9268,1945
4500,9116,5359,9258,1932
4600,9106,5363,9248,1942
4700,9117,5362,9252,1933
4800,9121,5363,9259,1939
4900,9122,5360,9260,1935
5000,9104,5360,9260,1939
5100,9114,5362,9265,1937
5200,9126,5365,9259,1928
5300,9112,5362,9259,1947
5400,9120,5357,9267,1947
5500,9111,5355,9261,1942
5600,9106,5366,9272,1942
5700,9117,5355,9267,1946
5800,9115,5353,9256,1934
5900,9117,5360,9262,1931
6000,9112,5358,9254,1932
6100,9111,5357,9256,1937
6200,9111,5358,9260,1947
6300,9104,5354,9262,1945
6400,9102,5363,9263,1932
6500,9105,5360,9253,1943
6600,9112,5358,9255,1946
6700,9115,5360,9262,1944
6800,9108,5365,9257,1948
6900,9127,5360,9254,1947
7000,9117,5365,9262,1943
7100,9120,5352,9264,1933
7200,9111,5363,9260,1940
7300,9115,5360,9259,1944
7400,9115,5360,9258,1940
7500,9112,5367,9268,1926
7600,9112,5361,9255,1943
7700,9116,5363,9265,1939
7800,9111,5358,9263,1947
7900,9105,5369,9260,1942
8000,9116,5361,9272,1957
8100,9118,5362,9266,1941
8200,9115,5362,9264,1938
8300,9108,5366,9265,1940
8400,9116,5366,9256,1931
8500,9119,5359,9264,1947
8600,9110,5372,9260,1942
8700,9107,5363,9264,1947
8800,9123,5362,9263,1944
8900,9116,5367,9264,1943
9000,9111,5363,9255,1945
9100,9114,5367,9251,1959
9200,9114,5365,9251,1950
9300,9121,5357,9256,1939
9400,9114,5362,9248,1934
9500,9114,5360,9260,1946
9600,9113,5363,9249,1944
9700,9109,5358,9254,1935
9800,9118,5358,9247,1947
9900,9121,5362,9246,1942
