timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8924,5466,9354,9260
100,8931,5454,9355,9267
200,8934,5454,9365,9269
300,8925,5457,9358,9269
400,8925,5460,9358,9270
500,8921,5452,9353,9273
600,8934,5446,9349,9281
700,8925,5461,9354,9277
800,8923,5454,9356,9271
900,8924,5457,9360,9281
1000,8929,5458,9354,9280
1100,8929,5448,9353,9268
1200,8925,5457,9352,9274
1300,8913,5464,9354,9273
1400,8930,5456,9351,9282
1500,8932,5458,9356,9277
1600,8929,5461,9352,9282
1700,8928,5463,9349,9277
1800,8921,5460,9353,9274
1900,8923,5456,9357,9286
2000,8924,5461,9346,9280
2100,8923,5464,9348,9274
2200,8922,5453,9352,9287
2300,8931,5458,9359,9278
2400,8933,5464,9351,9278
2500,8928,5450,9356,9284
2600,8930,5457,9353,9281
2700,8924,5453,9354,9274
2800,8931,5459,9354,9290
2900,8922,5458,9356,9285
3000,8931,5453,9344,9282
3100,8921,5459,9353,9281
3200,8932,5463,9359,9291
3300,8935,5457,9347,9296
3400,8927,5459,9352,9304
3500,8939,5461,9352,9293
3600,8933,5466,9350,9289
3700,8927,5463,9354,9273
3800,8929,5454,9346,9288
3900,8931,5456,9361,9281
4000,8923,5461,9349,9298
4100,8927,5456,9356,9284
4200,8923,5461,9355,9294
4300,8930,5457,9351,9306
4400,8933,5457,9351,9298
4500,8929,5455,9345,9297
4600,8926,5456,9355,9298
4700,8928,5456,9350,9297
4800,8914,5460,9353,9293
4900,8919,5445,9354,9288
5000,8917,5459,9355,9297
5100,8931,5463,9354,9291
5200,8920,5457,9346,9294
5300,8930,5455,9354,9297
5400,8930,5462,9353,9296
5500,8929,5458,9353,9297
5600,8936,5455,9356,9278
5700,8922,5449,9351,9306
5800,8924,5453,9354,9292
5900,8932,5460,9350,9292
6000,8939,5454,9349,9293
6100,8933,5459,9357,9290
6200,8919,5459,9365,9296
6300,8935,5460,9342,9296
6400,8932,5461,9353,9284
6500,8943,5454,9366,9301
6600,8929,5457,9353,9300
6700,8939,5455,9363,9297
6800,8927,5464,9359,9292
6900,8934,5450,9360,9296
7000,8926,5460,9362,9292
7100,8923,5458,9362,9301
7200,8919,5464,9356,9301
7300,8915,5457,9351,9298
7400,8937,5455,9352,9284
7500,8925,5455,9355,9292
7600,8930,5462,9359,9305
7700,8921,5466,9368,9295
7800,8928,5458,9361,9292
7900,8924,5459,9357,9306
8000,8934,5456,9355,9291
8100,8928,5462,9357,9291
8200,8929,5451,9354,9297
8300,8929,5456,9354,9307
8400,8942,5462,9352,9285
8500,8924,5459,9356,9284
8600,8926,5459,9360,9302
8700,8925,5449,9351,9297
8800,8930,5457,9353,9301
8900,8928,5458,9350,9287
9000,8920,5462,9349,9296
9100,8925,5459,9356,9288
9200,8923,5456,9355,9301
9300,8926,5463,9351,9287
9400,8935,5459,9350,9300
9500,8928,5460,9351,9297
9600,8931,5463,9342,9295
9700,8930,5461,9346,9299
9800,8925,5462,9353,9300
9900,8925,5458,9345,9290
