timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,9096,5318,9510,1590
100,9088,5318,9500,1605
200,9096,5311,9493,1603
300,9102,5313,9496,1610
400,9090,5317,9500,1615
500,9095,5312,9498,1603
600,9096,5315,9503,1609
700,9081,5325,9496,1605
800,9089,5311,9498,1615
900,9083,5315,9496,1601
1000,9089,5315,9500,1599
1100,9091,5318,9509,1614
1200,9094,5323,9502,1615
1300,9099,5310,9500,1630
1400,9092,5310,9503,1605
1500,9086,5313,9498,1619
1600,9090,5326,9512,1604
1700,9094,5317,9507,1609
1800,9088,5316,9503,1610
1900,9091,5311,9503,1624
2000,9097,5317,9505,1621
2100,9089,5312,9509,1605
2200,9096,5309,9511,1614
2300,9087,5320,9509,1607
2400,9091,5314,9511,1613
2500,9093,5308,9501,1612
2600,9090,5317,9506,1604
2700,9088,5321,9509,1617
2800,9090,5321,9502,1596
2900,9081,5310,9511,1607
3000,9097,5318,9503,1611
3100,9088,5318,9507,1612
3200,9099,5309,9494,1614
3300,9090,5312,9499,1611
3400,9091,5321,9511,1597
3500,9073,5319,9510,1607
3600,9089,5316,9520,1625
3700,9090,5321,9501,1613
3800,9098,5316,9504,1605
3900,9089,5319,9500,1613
4000,9092,5321,9506,1617
4100,9090,5321,9508,1599
4200,9089,5307,9509,1605
4300,9097,5319,9501,1612
4400,9096,5323,9510,1605
4500,9091,5312,9501,1616
4600,9092,5316,9513,1611
4700,9086,5311,9508,1609
4800,9084,5320,9510,1617
4900,9088,5317,9516,1612
5000,9102,5315,9504,1611
5100,9091,5317,9511,1607
5200,9094,5319,9507,1628
5300,9097,5316,9507,1612
5400,9094,5309,9505,1617
5500,9095,5313,9509,1609
5600,9097,5315,9509,1619
5700,9080,5324,9509,1613
5800,9089,5312,9512,1616
5900,9091,5327,9504,1620
6000,9096,5321,9509,1619
6100,9097,5314,9506,1619
6200,9086,5310,9518,1600
6300,9093,5314,9516,1609
6400,9096,5313,9505,1609
6500,9098,5315,9505,1616
6600,9093,5311,9516,1611
6700,9089,5316,9506,1618
6800,9090,5317,9504,1619
6900,9095,5319,9517,1610
7000,9085,5313,9509,1604
7100,9099,5319,9504,1616
7200,9096,5314,9512,1606
7300,9091,5328,9514,1610
7400,9100,5320,9502,1615
7500,9089,5324,9505,1612
7600,9094,5320,9515,1614
7700,9087,5320,9509,1608
7800,9097,5323,9503,1622
7900,9099,5323,9509,1615
8000,9099,5319,9506,1616
8100,9098,5323,9506,1612
8200,9087,5325,9516,1608
8300,9092,5319,9509,1619
8400,9092,5322,9511,1607
8500,9097,5318,9504,1604
8600,9090,5314,9509,1600
8700,9099,5317,9517,1612
8800,9087,5322,9516,1604
8900,9097,5320,9504,1611
9000,9092,5318,9513,1608
9100,9091,5318,9508,1610
9200,9095,5307,9507,1612
9300,9087,5315,9517,1610
9400,9086,5315,9502,1597
9500,9095,5324,9506,1611
9600,9097,5318,9503,1615
9700,9090,5323,9520,1618
9800,9096,5319,9511,1616
9900,9106,5314,9511,1609
