timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8825,5499,8448,3047
100,8836,5498,8445,3050
200,8826,5495,8432,3055
300,8832,5498,8437,3047
400,8819,5494,8442,3035
500,8824,5502,8429,3046
600,8820,5489,8438,3051
700,8839,5503,8440,3070
800,8823,5497,8434,3049
900,8826,5501,8434,3065
1000,8834,5495,8434,3054
1100,8826,5492,8433,3049
1200,8835,5498,8432,3056
1300,8826,5498,8434,3050
1400,8819,5491,8430,3064
1500,8835,5501,8437,3055
1600,8829,5498,8434,3066
1700,8826,5491,8425,3053
1800,8828,5497,8431,3050
1900,8826,5496,8434,3037
2000,8821,5496,8432,3074
2100,8830,5498,8428,3053
2200,8832,5491,8421,3066
2300,8825,5501,8425,3065
2400,8842,5487,8428,3058
2500,8834,5498,8427,3060
2600,8835,5493,8431,3058
2700,8832,5490,8420,3059
2800,8835,5500,8418,3056
2900,8832,5495,8421,3057
3000,8838,5494,8414,3064
3100,8824,5502,8416,3056
3200,8833,5498,8408,3066
3300,8830,5493,8415,3060
3400,8830,5492,8425,3059
3500,8827,5501,8406,3058
3600,8830,5496,8410,3060
3700,8812,5501,8400,3065
3800,8834,5496,8408,3069
3900,8824,5496,8402,3057
4000,8836,5488,8409,3055
4100,8817,5502,8404,3063
4200,8830,5498,8412,3063
4300,8832,5500,8409,3068
4400,8829,5501,8403,3055
4500,8828,5492,8406,3056
4600,8824,5496,8404,3068
4700,8820,5491,8407,3052
4800,8830,5495,8410,3047
4900,8834,5498,8401,3069
5000,8823,5502,8407,3059
5100,8824,5501,8410,3058
5200,8836,5498,8407,3069
5300,8834,5500,8410,3064
5400,8821,5500,8408,3046
5500,8829,5494,8415,3073
5600,8837,5501,8405,3076
5700,8826,5495,8411,3063
5800,8832,5499,8399,3068
5900,8828,5501,8411,3054
6000,8837,5495,8400,3054
6100,8835,5499,8404,3076
6200,8828,5497,8416,3060
6300,8841,5497,8408,3066
6400,8836,5502,8411,3048
6500,8824,5495,8409,3069
6600,8825,5497,8409,3063
6700,8822,5502,8406,3057
6800,8831,5503,8401,3075
6900,8830,5501,8403,3069
7000,8823,5497,8421,3067
7100,8823,5501,8410,3054
7200,8827,5498,8405,3061
7300,8834,5499,8407,3081
7400,8824,5501,8411,3058
7500,8829,5505,8416,3087
7600,8819,5499,8414,3064
7700,8834,5497,8407,3071
7800,8829,5496,8416,3067
7900,8824,5496,8412,3063
8000,8831,5503,8408,3064
8100,8820,5502,8406,3053
8200,8820,5500,8408,3055
8300,8841,5496,8412,3076
8400,8828,5502,8405,3061
8500,8829,5501,8413,3065
8600,8836,5495,8404,3077
8700,8831,5496,8400,3059
8800,8827,5503,8405,3068
8900,8830,5491,8407,3065
9000,8825,5497,8399,3064
9100,8835,5502,8404,3058
9200,8836,5494,8396,3062
9300,8828,5502,8405,3078
9400,8820,5490,8410,3071
9500,8833,5505,8402,3066
9600,8817,5500,8400,3078
9700,8817,5501,8401,3066
9800,8827,5494,8400,3063
9900,8818,5497,8400,3065
