timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8874,5502,8990,2755
100,8890,5506,8988,2759
200,8877,5504,8989,2738
300,8882,5506,8981,2754
400,8883,5507,8973,2762
500,8893,5509,8987,2749
600,8877,5507,8992,2752
700,8895,5505,8984,2759
800,8888,5511,8987,2753
900,8888,5511,8983,2763
1000,8892,5503,8990,2763
1100,8880,5508,8996,2757
1200,8883,5507,8988,2769
1300,8899,5503,8993,2763
1400,8886,5513,8987,2753
1500,8879,5503,8984,2754
1600,8871,5508,8994,2762
1700,8899,5504,8984,2768
1800,8884,5509,8981,2760
1900,8876,5501,8983,2760
2000,8862,5501,8983,2761
2100,8890,5503,8990,2760
2200,8875,5512,8984,2774
2300,8876,5507,8984,2764
2400,8895,5509,8985,2752
2500,8900,5508,8985,2767
2600,8896,5501,8980,2759
2700,8893,5505,8989,2769
2800,8873,5507,8987,2750
2900,8893,5511,8980,2759
3000,8898,5508,8982,2745
3100,8897,5503,8985,2755
3200,8872,5503,8985,2759
3300,8891,5516,8985,2761
3400,8877,5508,8977,2765
3500,8885,5506,8979,2761
3600,8903,5506,8976,2757
3700,8888,5509,8983,2762
3800,8878,5502,8981,2756
3900,8890,5503,8985,2762
4000,8888,5505,8983,2743
4100,8879,5506,8986,2765
4200,8885,5511,8983,2757
4300,8880,5516,8983,2752
4400,8889,5504,8976,2755
4500,8893,5504,8988,2760
4600,8888,5498,8983,2763
4700,8885,5501,8992,2766
4800,8878,5510,8980,2760
4900,8875,5507,8975,2756
5000,8890,5505,8981,2757
5100,8895,5502,8985,2755
5200,8882,5505,8977,2755
5300,8887,5509,8977,2759
5400,8886,5499,8983,2745
5500,8878,5513,8983,2763
5600,8883,5505,8986,2768
5700,8872,5507,8994,2751
5800,8886,5513,8981,2759
5900,8881,5504,8982,2773
6000,8876,5502,8995,2759
6100,8892,5509,8983,2760
6200,8889,5513,8985,2758
6300,8876,5499,8991,2764
6400,8892,5505,8982,2749
6500,8892,5505,8986,2758
6600,8877,5509,8985,2771
6700,8891,5507,8994,2756
6800,8878,5505,8982,2765
6900,8882,5502,8978,2761
7000,8891,5507,8981,2766
7100,8881,5510,8986,2759
7200,8878,5498,8984,2772
7300,8897,5506,8984,2778
7400,8886,5506,8991,2768
7500,8874,5506,8988,2758
7600,8895,5501,8982,2762
7700,8885,5500,8982,2757
7800,8883,5507,8993,2764
7900,8871,5510,8987,2771
8000,8883,5508,8983,2757
8100,8881,5503,8986,2766
8200,8894,5505,8978,2759
8300,8892,5508,8979,2761
8400,8878,5498,8985,2754
8500,8886,5512,8986,2764
8600,8885,5502,8990,2766
8700,8870,5506,8985,2763
8800,8883,5503,8988,2761
8900,8892,5509,8982,2761
9000,8887,5507,8983,2760
9100,8874,5507,8986,2766
9200,8877,5504,8982,2763
9300,8887,5509,8980,2755
9400,8882,5505,8979,2758
9500,8891,5507,8973,2771
9600,8892,5503,8978,2768
9700,8886,5496,8985,2754
9800,8880,5507,8976,2767
9900,8881,5502,8975,2763
