timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8892,5522,8987,3004
100,8890,5522,8989,3008
200,8882,5516,8990,3018
300,8890,5521,8987,3008
400,8892,5527,8985,3008
500,8900,5524,8985,3006
600,8884,5529,8982,3008
700,8887,5516,8989,3012
800,8893,5522,8979,3011
900,8880,5524,8989,3011
1000,8889,5514,8991,3003
1100,8884,5518,8990,3016
1200,8901,5523,8991,3016
1300,8887,5526,8991,3014
1400,8886,5522,8990,3015
1500,8876,5521,8984,2998
1600,8877,5513,8980,3011
1700,8883,5521,8986,3009
1800,8893,5522,8988,3006
1900,8892,5523,8982,3011
2000,8882,5526,8987,3015
2100,8869,5519,8984,3008
2200,8901,5521,8989,3015
2300,8876,5526,8992,3001
2400,8882,5521,8985,3017
2500,8898,5514,8993,3007
2600,8886,5528,8993,3006
2700,8905,5522,8982,3010
2800,8894,5513,8992,3010
2900,8894,5522,8988,3023
3000,8883,5516,8994,3016
3100,8891,5527,8992,3013
3200,8885,5524,8995,3021
3300,8900,5522,8991,3010
3400,8887,5526,8998,3007
3500,8883,5528,8992,3018
3600,8901,5525,9002,3016
3700,8889,5520,8990,3001
3800,8904,5520,8991,3015
3900,8896,5525,8996,3018
4000,8879,5526,8988,3003
4100,8898,5527,8990,3010
4200,8896,5524,8991,3018
4300,8879,5520,8989,3009
4400,8899,5518,8990,3015
4500,8879,5518,8986,3014
4600,8892,5521,8998,3011
4700,8891,5524,8986,3009
4800,8885,5521,8986,3009
4900,8890,5517,8986,3007
5000,8882,5518,8988,3001
5100,8877,5520,8985,3020
5200,8892,5514,8992,3011
5300,8892,5522,8991,3012
5400,8895,5519,8985,2999
5500,8882,5518,8995,3012
5600,8881,5528,8984,3004
5700,8876,5522,8984,3007
5800,8878,5516,8986,3010
5900,8905,5518,8990,3015
6000,8893,5521,8990,3018
6100,8891,5526,8988,3007
6200,8890,5521,8978,3005
6300,8890,5516,8983,3014
6400,8891,5522,8985,3009
6500,8896,5516,8991,3018
6600,8884,5519,8986,3010
6700,8902,5531,8984,3018
6800,8892,5525,8984,3010
6900,8895,5515,8990,3020
7000,8893,5523,8985,3015
7100,8900,5519,8977,3008
7200,8893,5514,8988,3014
7300,8899,5515,8983,3017
7400,8892,5518,8992,3016
7500,8888,5519,8980,3016
7600,8898,5517,8982,3011
7700,8887,5526,8989,3014
7800,8887,5514,8989,3005
7900,8891,5520,8980,3023
8000,8892,5523,8977,3021
8100,8894,5519,8984,3013
8200,8888,5527,8982,3009
8300,8872,5521,8982,3014
8400,8892,5524,8987,3013
8500,8883,5525,8987,3020
8600,8887,5520,8987,3010
8700,8889,5515,8983,3003
8800,8879,5514,8989,3016
8900,8892,5525,8982,3015
9000,8907,5518,8982,3016
9100,8905,5517,8988,3011
9200,8897,5522,8987,3021
9300,8890,5517,8983,3018
9400,8873,5517,8989,3020
9500,8884,5521,8990,3008
9600,8887,5517,8986,3015
9700,8879,5522,8986,3014
9800,8878,5520,8986,3016
9900,8888,5513,8985,3021
