timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,9045,5424,8932,11724
100,9041,5424,8916,11727
200,9043,5423,8929,11725
300,9051,5424,8923,11728
400,9038,5430,8928,11716
500,9042,5427,8916,11729
600,9059,5430,8922,11729
700,9047,5433,8929,11732
800,9040,5423,8915,11717
900,9054,5430,8926,11730
1000,9057,5427,8922,11731
1100,9052,5427,8932,11731
1200,9062,5425,8931,11719
1300,9053,5429,8922,11713
1400,9046,5434,8926,11726
1500,9054,5424,8926,11728
1600,9049,5430,8925,11736
1700,9044,5426,8919,11721
1800,9048,5423,8920,11730
1900,9037,5424,8924,11722
2000,9047,5426,8922,11719
2100,9040,5425,8915,11727
2200,9045,5427,8929,11722
2300,9058,5439,8925,11716
2400,9050,5426,8921,11742
2500,9048,5425,8925,11726
2600,9041,5424,8926,11720
2700,9044,5423,8928,11728
2800,9045,5424,8923,11734
2900,9041,5426,8935,11733
3000,9039,5433,8920,11733
3100,9051,5424,8919,11722
3200,9041,5430,8926,11730
3300,9048,5424,8928,11732
3400,9044,5423,8925,11726
3500,9056,5428,8924,11724
3600,9036,5429,8924,11736
3700,9060,5431,8928,11731
3800,9053,5430,8923,11737
3900,9047,5422,8924,11728
4000,9052,5424,8928,11729
4100,9055,5430,8925,11706
4200,9035,5426,8934,11730
4300,9049,5425,8924,11728
4400,9047,5419,8932,11730
4500,9051,5425,8919,11724
4600,9045,5427,8925,11738
4700,9052,5427,8920,11729
4800,9060,5423,8924,11732
4900,9040,5428,8928,11733
5000,9057,5419,8922,11734
5100,9047,5427,8925,11724
5200,9044,5423,8937,11740
5300,9058,5426,8924,11724
5400,9048,5428,8911,11731
5500,9068,5427,8921,11727
5600,9052,5428,8921,11731
5700,9055,5426,8931,11721
5800,9039,5422,8925,11732
5900,9039,5437,8934,11731
6000,9063,5419,8929,11723
6100,9049,5427,8922,11730
6200,9042,5422,8927,11731
6300,9050,5423,8926,11728
6400,9045,5422,8924,11724
6500,9055,5421,8927,11736
6600,9057,5426,8930,11716
6700,9052,5425,8930,11725
6800,9046,5424,8932,11719
6900,9054,5423,8929,11734
7000,9066,5424,8926,11729
7100,9048,5427,8937,11726
7200,9057,5427,8936,11726
7300,9060,5428,8934,11735
7400,9050,5430,8931,11726
7500,9053,5426,8932,11725
7600,9057,5428,8933,11742
7700,9046,5424,8928,11722
7800,9042,5429,8936,11722
7900,9052,5425,8926,11738
8000,9053,5420,8928,11733
8100,9042,5424,8929,11725
8200,9041,5416,8926,11722
8300,9046,5425,8925,11733
8400,9051,5420,8927,11721
8500,9060,5424,8926,11725
8600,9051,5428,8928,11720
8700,9051,5423,8930,11729
8800,9043,5439,8930,11732
8900,9045,5427,8938,11721
9000,9045,5434,8927,11727
9100,9058,5429,8932,11726
9200,9051,5431,8934,11737
9300,9039,5428,8923,11728
9400,9051,5428,8928,11737
9500,9050,5422,8921,11729
9600,9046,5425,8931,11725
9700,9037,5424,8928,11725
9800,9044,5417,8924,11726
9900,9046,5430,8925,11730
