timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,9056,5431,8921,11737
100,9064,5426,8925,11736
200,9056,5427,8927,11742
300,9062,5429,8937,11739
400,9053,5425,8925,11741
500,9060,5431,8925,11730
600,9064,5427,8933,11741
700,9066,5427,8929,11735
800,9064,5427,8925,11734
900,9052,5436,8910,11732
1000,9050,5428,8922,11731
1100,9052,5428,8920,11737
1200,9055,5425,8923,11725
1300,9053,5427,8926,11740
1400,9041,5424,8927,11737
1500,9064,5430,8926,11730
1600,9053,5427,8922,11737
1700,9062,5437,8926,11731
1800,9052,5426,8924,11751
1900,9051,5428,8927,11745
2000,9062,5426,8921,11746
2100,9051,5427,8934,11723
2200,9052,5433,8916,11734
2300,9057,5421,8927,11738
2400,9064,5429,8923,11751
2500,9048,5422,8927,11738
2600,9054,5424,8933,11732
2700,9057,5428,8926,11732
2800,9051,5434,8923,11739
2900,9048,5425,8926,11742
3000,9051,5425,8926,11739
3100,9038,5422,8926,11729
3200,9048,5429,8931,11735
3300,9060,5426,8929,11729
3400,9050,5418,8921,11740
3500,9046,5431,8925,11738
3600,9054,5425,8919,11732
3700,9046,5430,8931,11745
3800,9044,5427,8926,11746
3900,9061,5423,8922,11735
4000,9048,5431,8918,11737
4100,9056,5418,8921,11735
4200,9057,5423,8916,11735
4300,9051,5427,8920,11743
4400,9058,5429,8919,11741
4500,9050,5429,8923,11737
4600,9051,5425,8909,11730
4700,9051,5417,8912,11737
4800,9053,5420,8914,11737
4900,9071,5429,8916,11740
5000,9045,5422,8915,11734
5100,9046,5421,8913,11735
5200,9066,5426,8913,11740
5300,9050,5429,8907,11765
5400,9055,5432,8911,11736
5500,9061,5425,8911,11731
5600,9042,5422,8912,11742
5700,9042,5425,8910,11740
5800,9064,5425,8905,11758
5900,9051,5424,8907,11740
6000,9052,5427,8907,11740
6100,9050,5421,8912,11753
6200,9049,5432,8922,11735
6300,9049,5429,8906,11750
6400,9060,5424,8911,11749
6500,9059,5429,8906,11740
6600,9054,5430,8907,11736
6700,9048,5424,8920,11737
6800,9044,5429,8905,11735
6900,9060,5431,8911,11741
7000,9054,5423,8909,11740
7100,9045,5424,8916,11739
7200,9046,5431,8921,11733
7300,9058,5428,8923,11742
7400,9051,5422,8917,11762
7500,9045,5433,8919,11733
7600,9050,5430,8914,11731
7700,9050,5430,8922,11734
7800,9053,5425,8912,11738
7900,9051,5426,8916,11749
8000,9058,5426,8914,11746
8100,9043,5426,8916,11741
8200,9069,5425,8918,11734
8300,9062,5426,8917,11735
8400,9054,5423,8923,11742
8500,9052,5428,8918,11736
8600,9053,5421,8919,11735
8700,9051,5425,8906,11730
8800,9059,5421,8909,11745
8900,9060,5428,8912,11737
9000,9060,5426,8920,11733
9100,9048,5427,8921,11740
9200,9048,5432,8923,11722
9300,9057,5425,8917,11739
9400,9069,5426,8927,11745
9500,9049,5431,8923,11749
9600,9054,5428,8920,11740
9700,9057,5427,8925,11742
9800,9052,5427,8915,11735
9900,9055,5440,8924,11737
