timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,9136,5384,9025,1978
100,9142,5389,9014,1972
200,9146,5385,9029,1962
300,9137,5379,9020,1971
400,9148,5387,9020,1963
500,9138,5388,9022,1982
600,9142,5388,9032,1978
700,9138,5393,9022,1976
800,9144,5376,9023,1975
900,9145,5385,9025,1969
1000,9145,5390,9028,1980
1100,9145,5385,9034,1978
1200,9143,5391,9031,1984
1300,9133,5390,9023,1976
1400,9141,5397,9024,1976
1500,9136,5392,9025,1976
1600,9132,5385,9020,1974
1700,9142,5384,9024,1982
1800,9151,5390,9025,1981
1900,9145,5383,9025,1975
2000,9146,5384,9019,1970
2100,9144,5378,9024,1953
2200,9145,5396,9029,1977
2300,9153,5394,9020,1974
2400,9141,5386,9032,1976
2500,9139,5387,9032,1980
2600,9150,5390,9028,1978
2700,9145,5388,9023,1977
2800,9142,5384,9037,1975
2900,9142,5387,9029,1971
3000,9141,5392,9026,1970
3100,9155,5390,9026,1975
3200,9142,5385,9023,1978
3300,9142,5383,9037,1970
3400,9143,5378,9032,1979
3500,9140,5384,9021,1973
3600,9148,5386,9025,1972
3700,9143,5390,9030,1979
3800,9139,5393,9032,1988
3900,9152,5390,9027,1979
4000,9140,5390,9025,1975
4100,9134,5379,9018,1982
4200,9126,5385,9020,1979
4300,9140,5377,9026,1975
4400,9139,5391,9035,1979
4500,9140,5390,9034,1975
4600,9137,5387,9030,1976
4700,9144,5388,9026,1967
4800,9140,5388,9023,1981
4900,9147,5392,9026,1981
5000,9134,5389,9025,1973
5100,9146,5388,9029,1984
5200,9135,5386,9021,1964
5300,9134,5390,9032,1976
5400,9131,5380,9029,1979
5500,9147,5382,9026,1972
5600,9145,5385,9030,1976
5700,9153,5391,9030,1981
5800,9145,5393,9032,1988
5900,9139,5386,9028,1995
6000,9145,5384,9032,1988
6100,9143,5388,9028,1974
6200,9156,5391,9027,1978
6300,9141,5384,9028,1981
6400,9143,5380,9025,1976
6500,9134,5391,9021,1974
6600,9139,5390,9029,1974
6700,9147,5386,9029,1971
6800,9141,5389,9021,1977
6900,9149,5386,9029,1969
7000,9133,5384,9038,1980
7100,9142,5387,9030,1979
7200,9139,5399,9024,1975
7300,9144,5387,9023,1971
7400,9150,5377,9032,1978
7500,9140,5385,9033,1974
7600,9143,5396,9033,1971
7700,9144,5386,9028,1968
7800,9153,5387,9027,1970
7900,9143,5387,9029,1970
8000,9144,5389,9024,1987
8100,9150,5396,9033,1984
8200,9142,5391,9028,1975
8300,9135,5383,9030,1978
8400,9143,5384,9030,1965
8500,9141,5392,9025,1971
8600,9146,5389,9034,1971
8700,9140,5389,9031,1978
8800,9138,5385,9027,1970
8900,9144,5398,9025,1971
9000,9134,5386,9028,1978
9100,9151,5390,9029,1971
9200,9140,5387,9026,1984
9300,9133,5387,9033,1975
9400,9130,5383,9030,1976
9500,9139,5394,9042,1974
9600,9139,5393,9033,1976
9700,9145,5382,9029,1973
9800,9145,5398,9034,1973
9900,9146,5390,9030,1972
