timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,9000,5305,9481,1623
100,8989,5320,9481,1616
200,8998,5311,9481,1621
300,8992,5322,9489,1622
400,9012,5315,9481,1631
500,9004,5311,9490,1631
600,8999,5313,9493,1622
700,8999,5313,9489,1617
800,9001,5319,9497,1619
900,9003,5313,9496,1629
1000,9002,5317,9492,1627
1100,8995,5311,9494,1618
1200,9003,5314,9491,1624
1300,9000,5320,9490,1623
1400,8996,5320,9492,1627
1500,8989,5311,9488,1625
1600,9003,5312,9494,1619
1700,8997,5314,9485,1627
1800,8993,5311,9489,1621
1900,9006,5316,9492,1630
2000,9003,5307,9483,1624
2100,9003,5310,9488,1631
2200,8997,5304,9491,1623
2300,9006,5322,9495,1627
2400,8992,5317,9493,1619
2500,9008,5319,9484,1621
2600,9011,5317,9497,1616
2700,9003,5313,9490,1613
2800,8997,5312,9492,1622
2900,9002,5316,9490,1610
3000,9001,5307,9486,1619
3100,9004,5318,9492,1620
3200,9000,5303,9482,1628
3300,9004,5322,9487,1620
3400,8998,5318,9492,1607
3500,9003,5314,9484,1621
3600,9007,5314,9490,1619
3700,9003,5312,9492,1616
3800,8997,5309,9487,1620
3900,9003,5320,9485,1619
4000,9009,5307,9495,1625
4100,9002,5313,9477,1629
4200,8998,5310,9491,1620
4300,8992,5312,9497,1598
4400,9012,5318,9494,1625
4500,9005,5306,9497,1610
4600,9009,5318,9497,1629
4700,9004,5306,9482,1621
4800,9008,5313,9487,1619
4900,9001,5313,9492,1625
5000,9002,5309,9493,1622
5100,9001,5318,9496,1609
5200,8993,5315,9491,1619
5300,9001,5302,9488,1629
5400,8996,5316,9493,1625
5500,8996,5324,9489,1623
5600,9004,5306,9488,1627
5700,8999,5316,9486,1627
5800,8997,5310,9491,1633
5900,9002,5317,9501,1626
6000,8997,5311,9493,1622
6100,9005,5308,9494,1620
6200,9006,5314,9493,1613
6300,9005,5308,9483,1617
6400,9001,5318,9489,1627
6500,8998,5315,9486,1622
6600,8997,5306,9492,1636
6700,9003,5308,9492,1628
6800,9004,5316,9496,1627
6900,8993,5309,9482,1628
7000,9013,5318,9488,1625
7100,8997,5308,9487,1622
7200,8998,5307,9500,1622
7300,9013,5318,9500,1618
7400,9012,5315,9493,1628
7500,8996,5314,9486,1624
7600,9007,5313,9494,1630
7700,9007,5308,9498,1627
7800,9000,5309,9493,1618
7900,8993,5316,9491,1622
8000,9000,5319,9486,1628
8100,9005,5314,9502,1625
8200,9012,5309,9490,1626
8300,9004,5323,9493,1629
8400,9002,5321,9485,1621
8500,9011,5319,9495,1618
8600,9007,5303,9490,1629
8700,8998,5316,9504,1631
8800,9005,5311,9485,1621
8900,9006,5310,9485,1629
9000,9004,5316,9491,1620
9100,9004,5315,9484,1632
9200,9020,5314,9485,1615
9300,8994,5307,9475,1622
9400,9006,5312,9486,1631
9500,9006,5306,9488,1625
9600,8999,5308,9481,1632
9700,9001,5311,9478,1623
9800,9003,5315,9474,1618
9900,9005,5316,9477,1626
