timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8765,5572,9626,2757
100,8758,5583,9633,2756
200,8757,5589,9630,2742
300,8763,5579,9627,2758
400,8756,5576,9628,2740
500,8763,5580,9625,2749
600,8756,5577,9624,2772
700,8758,5581,9630,2756
800,8769,5580,9628,2754
900,8765,5587,9628,2758
1000,8758,5585,9624,2757
1100,8752,5587,9620,2770
1200,8765,5582,9629,2758
1300,8769,5575,9620,2761
1400,8762,5580,9627,2762
1500,8755,5580,9624,2758
1600,8760,5586,9625,2760
1700,8756,5586,9622,2761
1800,8763,5585,9631,2756
1900,8753,5582,9614,2757
2000,8765,5582,9622,2769
2100,8762,5579,9628,2744
2200,8765,5577,9620,2750
2300,8761,5586,9627,2759
2400,8759,5576,9624,2754
2500,8776,5573,9624,2756
2600,8759,5585,9627,2756
2700,8767,5580,9640,2769
2800,8765,5582,9622,2760
2900,8772,5579,9626,2758
3000,8765,5587,9621,2771
3100,8762,5584,9620,2764
3200,8769,5587,9620,2763
3300,8761,5580,9618,2759
3400,8763,5578,9625,2751
3500,8773,5583,9620,2766
3600,8759,5585,9620,2763
3700,8759,5582,9618,2773
3800,8765,5577,9618,2763
3900,8772,5575,9623,2761
4000,8755,5575,9633,2769
4100,8767,5575,9621,2764
4200,8748,5575,9623,2758
4300,8757,5587,9617,2762
4400,8749,5577,9624,2760
4500,8763,5584,9618,2766
4600,8764,5593,9629,2761
4700,8758,5588,9627,2764
4800,8758,5577,9616,2761
4900,8762,5582,9622,2761
5000,8766,5586,9621,2755
5100,8762,5578,9615,2768
5200,8763,5595,9621,2763
5300,8770,5577,9623,2764
5400,8756,5580,9620,2761
5500,8751,5586,9617,2762
5600,8755,5590,9622,2760
5700,8759,5581,9631,2777
5800,8771,5579,9611,2772
5900,8765,5580,9621,2771
6000,8762,5585,9619,2768
6100,8761,5587,9621,2765
6200,8759,5572,9623,2770
6300,8762,5591,9621,2762
6400,8759,5582,9625,2769
6500,8770,5580,9623,2770
6600,8772,5587,9622,2767
6700,8764,5589,9624,2768
6800,8761,5572,9624,2773
6900,8759,5583,9620,2772
7000,8767,5584,9626,2767
7100,8764,5578,9628,2756
7200,8761,5587,9623,2773
7300,8769,5591,9622,2770
7400,8767,5581,9620,2761
7500,8757,5571,9628,2778
7600,8763,5580,9621,2771
7700,8760,5583,9620,2772
7800,8750,5578,9617,2768
7900,8758,5580,9626,2752
8000,8756,5575,9617,2764
8100,8762,5583,9627,2774
8200,8761,5588,9621,2767
8300,8762,5589,9628,2759
8400,8763,5585,9627,2770
8500,8760,5584,9618,2766
8600,8756,5585,9619,2774
8700,8763,5579,9621,2767
8800,8765,5586,9624,2774
8900,8765,5581,9627,2765
9000,8762,5577,9619,2767
9100,8759,5590,9615,2777
9200,8763,5587,9624,2762
9300,8750,5585,9615,2770
9400,8758,5585,9633,2776
9500,8763,5570,9615,2766
9600,8758,5574,9625,2768
9700,8755,5580,9628,2774
9800,8765,5577,9619,2772
9900,8763,5585,9620,2763
