timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8831,5497,8274,2944
100,8824,5490,8268,2942
200,8830,5494,8270,2942
300,8818,5492,8276,2943
400,8838,5487,8264,2949
500,8830,5495,8269,2947
600,8817,5490,8275,2942
700,8834,5495,8273,2964
800,8827,5499,8271,2942
900,8843,5501,8271,2937
1000,8833,5481,8269,2955
1100,8830,5493,8269,2945
1200,8822,5498,8269,2944
1300,8840,5492,8273,2937
1400,8828,5492,8264,2943
1500,8830,5492,8271,2951
1600,8830,5495,8268,2928
1700,8827,5495,8269,2947
1800,8826,5490,8276,2955
1900,8835,5486,8275,2947
2000,8836,5496,8277,2940
2100,8840,5490,8270,2942
2200,8824,5496,8270,2944
2300,8832,5502,8271,2942
2400,8834,5488,8272,2954
2500,8834,5489,8284,2942
2600,8832,5491,8274,2942
2700,8835,5496,8273,2949
2800,8845,5488,8276,2944
2900,8827,5490,8268,2942
3000,8829,5497,8278,2947
3100,8820,5497,8274,2943
3200,8835,5498,8273,2941
3300,8839,5491,8281,2955
3400,8828,5486,8275,2941
3500,8824,5498,8279,2943
3600,8829,5491,8288,2947
3700,8825,5493,8278,2942
3800,8810,5499,8280,2946
3900,8841,5493,8286,2939
4000,8822,5486,8279,2939
4100,8823,5490,8282,2951
4200,8827,5486,8285,2938
4300,8819,5487,8286,2948
4400,8825,5491,8277,2946
4500,8836,5495,8279,2949
4600,8823,5497,8280,2951
4700,8821,5496,8282,2953
4800,8830,5496,8271,2939
4900,8826,5488,8285,2947
5000,8825,5494,8276,2947
5100,8827,5495,8288,2952
5200,8843,5481,8281,2943
5300,8843,5491,8277,2951
5400,8820,5488,8282,2942
5500,8833,5485,8290,2957
5600,8830,5493,8282,2946
5700,8831,5498,8287,2949
5800,8836,5485,8291,2947
5900,8831,5492,8286,2954
6000,8841,5486,8285,2943
6100,8827,5497,8284,2946
6200,8828,5490,8286,2954
6300,8823,5497,8287,2946
6400,8828,5491,8291,2943
6500,8826,5493,8289,2952
6600,8824,5480,8290,2945
6700,8824,5496,8295,2947
6800,8824,5487,8292,2940
6900,8838,5499,8295,2949
7000,8833,5490,8300,2951
7100,8838,5488,8305,2937
7200,8825,5485,8303,2959
7300,8820,5496,8309,2948
7400,8815,5496,8299,2948
7500,8828,5487,8313,2950
7600,8824,5492,8307,2934
7700,8831,5486,8315,2952
7800,8834,5494,8327,2946
7900,8827,5489,8316,2950
8000,8823,5493,8324,2948
8100,8833,5496,8331,2937
8200,8831,5486,8329,2946
8300,8840,5490,8330,2946
8400,8838,5490,8332,2958
8500,8820,5489,8357,2956
8600,8837,5487,8346,2946
8700,8832,5489,8349,2951
8800,8824,5493,8354,2950
8900,8830,5494,8356,2948
9000,8832,5494,8365,2958
9100,8827,5491,8358,2952
9200,8834,5492,8363,2945
9300,8834,5490,8367,2952
9400,8834,5491,8366,2947
9500,8824,5493,8368,2941
9600,8823,5492,8363,2952
9700,8818,5485,8367,2949
9800,8836,5494,8371,2948
9900,8823,5494,8362,2936
