timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8801,5354,9531,1473
100,8785,5355,9524,1465
200,8803,5348,9534,1461
300,8792,5358,9531,1473
400,8791,5357,9528,1445
500,8794,5354,9529,1467
600,8800,5350,9522,1467
700,8788,5352,9536,1459
800,8798,5350,9526,1472
900,8790,5352,9534,1465
1000,8807,5347,9530,1477
1100,8804,5347,9528,1455
1200,8805,5347,9524,1474
1300,8798,5351,9527,1464
1400,8790,5353,9533,1473
1500,8797,5359,9533,1470
1600,8791,5350,9522,1471
1700,8799,5347,9527,1469
1800,8797,5352,9542,1470
1900,8794,5350,9528,1476
2000,8792,5353,9525,1456
2100,8789,5357,9529,1471
2200,8792,5347,9525,1465
2300,8792,5351,9521,1478
2400,8807,5350,9523,1460
2500,8797,5354,9524,1466
2600,8786,5342,9528,1467
2700,8794,5354,9531,1481
2800,8798,5349,9533,1471
2900,8788,5348,9533,1466
3000,8794,5354,9533,1476
3100,8808,5345,9527,1461
3200,8795,5353,9532,1481
3300,8790,5355,9530,1475
3400,8786,5354,9527,1464
3500,8789,5343,9524,1478
3600,8797,5348,9519,1470
3700,8803,5354,9533,1473
3800,8790,5357,9521,1475
3900,8793,5349,9524,1470
4000,8797,5353,9526,1471
4100,8793,5356,9535,1469
4200,8797,5349,9525,1476
4300,8794,5352,9526,1465
4400,8802,5352,9524,1470
4500,8803,5358,9530,1475
4600,8803,5357,9530,1473
4700,8799,5349,9526,1471
4800,8806,5347,9515,1473
4900,8792,5353,9526,1469
5000,8797,5344,9537,1471
5100,8795,5349,9526,1474
5200,8809,5352,9531,1471
5300,8797,5348,9523,1474
5400,8792,5349,9529,1479
5500,8813,5349,9521,1480
5600,8805,5355,9522,1470
5700,8799,5348,9530,1476
5800,8801,5347,9528,1474
5900,8784,5351,9522,1477
6000,8802,5355,9526,1478
6100,8790,5352,9523,1473
6200,8804,5354,9529,1466
6300,8801,5349,9524,1474
6400,8808,5345,9530,1464
6500,8791,5354,9528,1476
6600,8812,5354,9520,1477
6700,8797,5355,9521,1476
6800,8802,5354,9524,1477
6900,8804,5349,9523,1477
7000,8814,5355,9526,1465
7100,8802,5335,9530,1480
7200,8798,5353,9522,1476
7300,8803,5348,9528,1472
7400,8802,5351,9522,1465
7500,8793,5344,9524,1480
7600,8800,5350,9534,1459
7700,8802,5350,9542,1480
7800,8803,5348,9530,1475
7900,8803,5348,9529,1479
8000,8797,5355,9532,1478
8100,8799,5349,9529,1482
8200,8798,5355,9526,1475
8300,8794,5353,9532,1475
8400,8803,5355,9531,1485
8500,8808,5354,9528,1477
8600,8809,5352,9531,1467
8700,8808,5352,9533,1482
8800,8807,5358,9529,1463
8900,8813,5352,9536,1476
9000,8807,5350,9524,1484
9100,8801,5347,9520,1500
9200,8797,5359,9522,1491
9300,8801,5355,9519,1480
9400,8803,5350,9520,1477
9500,8799,5342,9531,1474
9600,8794,5348,9523,1484
9700,8795,5349,9516,1477
9800,8815,5351,9533,1480
9900,8796,5352,9530,1489
