timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,9049,5441,8922,11377
100,9069,5435,8930,11374
200,9061,5425,8921,11369
300,9053,5439,8929,11375
400,9070,5439,8928,11375
500,9063,5433,8929,11382
600,9069,5431,8921,11389
700,9064,5442,8923,11373
800,9055,5435,8928,11376
900,9069,5436,8924,11381
1000,9061,5435,8923,11386
1100,9048,5440,8927,11384
1200,9061,5434,8930,11384
1300,9057,5439,8928,11389
1400,9068,5431,8929,11385
1500,9045,5434,8926,11380
1600,9061,5429,8933,11385
1700,9056,5438,8929,11387
1800,9060,5433,8931,11394
1900,9067,5434,8927,11392
2000,9056,5439,8926,11375
2100,9048,5435,8930,11391
2200,9059,5433,8931,11386
2300,9065,5444,8927,11395
2400,9048,5440,8927,11382
2500,9053,5435,8919,11382
2600,9065,5439,8924,11385
2700,9058,5435,8923,11391
2800,9056,5430,8920,11384
2900,9068,5436,8929,11388
3000,9061,5431,8923,11375
3100,9055,5439,8931,11381
3200,9059,5440,8922,11388
3300,9044,5428,8928,11389
3400,9066,5438,8926,11384
3500,9047,5434,8927,11391
3600,9063,5433,8929,11376
3700,9056,5443,8931,11375
3800,9046,5430,8923,11384
3900,9054,5435,8929,11394
4000,9055,5441,8931,11382
4100,9048,5439,8918,11393
4200,9051,5438,8930,11388
4300,9064,5428,8927,11387
4400,9052,5433,8927,11389
4500,9066,5437,8923,11386
4600,9046,5434,8922,11373
4700,9059,5438,8921,11387
4800,9051,5437,8926,11369
4900,9047,5435,8911,11388
5000,9072,5435,8924,11388
5100,9060,5435,8926,11389
5200,9051,5439,8929,11389
5300,9046,5444,8926,11391
5400,9046,5435,8931,11385
5500,9058,5436,8935,11394
5600,9051,5424,8921,11383
5700,9059,5425,8930,11396
5800,9051,5433,8926,11374
5900,9073,5434,8926,11396
6000,9074,5444,8925,11395
6100,9056,5430,8923,11401
6200,9060,5431,8928,11391
6300,9050,5432,8926,11405
6400,9064,5435,8929,11379
6500,9060,5429,8929,11391
6600,9053,5439,8920,11395
6700,9069,5430,8926,11395
6800,9042,5436,8921,11398
6900,9067,5428,8923,11395
7000,9068,5434,8922,11396
7100,9050,5437,8920,11398
7200,9068,5437,8931,11385
7300,9051,5436,8933,11389
7400,9054,5437,8925,11396
7500,9053,5435,8938,11399
7600,9063,5428,8933,11405
7700,9066,5431,8927,11400
7800,9059,5437,8931,11398
7900,9063,5436,8936,11391
8000,9064,5437,8930,11403
8100,9053,5437,8935,11397
8200,9052,5430,8923,11397
8300,9055,5442,8925,11384
8400,9051,5440,8928,11394
8500,9053,5432,8928,11393
8600,9055,5445,8927,11377
8700,9065,5446,8922,11398
8800,9063,5440,8933,11396
8900,9046,5444,8917,11392
9000,9054,5438,8922,11398
9100,9065,5440,8927,11397
9200,9052,5434,8928,11394
9300,9051,5434,8918,11397
9400,9049,5440,8928,11393
9500,9075,5438,8920,11393
9600,9049,5430,8914,11388
9700,9067,5435,8929,11407
9800,9072,5435,8922,11397
9900,9061,5441,8924,11406
