timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8930,5435,9355,8917
100,8921,5432,9356,8928
200,8929,5440,9360,8934
300,8928,5430,9356,8927
400,8912,5431,9354,8935
500,8926,5429,9344,8930
600,8918,5436,9354,8934
700,8921,5434,9355,8941
800,8924,5438,9353,8937
900,8928,5438,9360,8940
1000,8919,5440,9362,8946
1100,8920,5438,9354,8936
1200,8928,5438,9360,8940
1300,8923,5437,9358,8951
1400,8926,5433,9353,8960
1500,8926,5437,9352,8962
1600,8919,5437,9358,8939
1700,8926,5434,9357,8937
1800,8929,5442,9360,8945
1900,8915,5436,9361,8951
2000,8918,5434,9358,8965
2100,8917,5439,9356,8956
2200,8919,5446,9361,8951
2300,8914,5439,9363,8953
2400,8921,5429,9362,8967
2500,8927,5439,9354,8959
2600,8920,5433,9358,8964
2700,8921,5433,9361,8975
2800,8923,5432,9356,8964
2900,8920,5433,9355,8960
3000,8924,5440,9360,8965
3100,8907,5435,9365,8977
3200,8914,5437,9363,8970
3300,8922,5434,9364,8963
3400,8927,5431,9365,8967
3500,8931,5430,9366,8975
3600,8924,5436,9359,8977
3700,8921,5434,9364,8964
3800,8922,5444,9357,8986
3900,8921,5440,9362,8976
4000,8921,5445,9370,8981
4100,8924,5428,9358,8982
4200,8922,5437,9367,8972
4300,8908,5436,9359,8981
4400,8924,5441,9358,8977
4500,8916,5434,9364,8987
4600,8926,5444,9361,8981
4700,8928,5436,9355,8977
4800,8923,5445,9360,8975
4900,8927,5430,9364,8980
5000,8916,5443,9357,8984
5100,8912,5438,9359,8978
5200,8921,5434,9355,8963
5300,8924,5444,9355,8982
5400,8921,5431,9353,8983
5500,8923,5436,9356,8982
5600,8919,5437,9368,8986
5700,8925,5435,9355,8991
5800,8926,5440,9362,8993
5900,8927,5435,9361,8997
6000,8920,5441,9366,8989
6100,8923,5429,9361,8989
6200,8922,5428,9357,8994
6300,8925,5439,9364,8988
6400,8930,5431,9358,8995
6500,8918,5434,9358,8989
6600,8921,5424,9363,8983
6700,8926,5432,9354,9000
6800,8923,5432,9356,8992
6900,8924,5428,9368,8989
7000,8918,5440,9358,8995
7100,8927,5435,9362,9001
7200,8922,5438,9350,8997
7300,8927,5436,9357,9001
7400,8926,5436,9362,8976
7500,8925,5437,9359,8996
7600,8915,5435,9357,9002
7700,8930,5441,9364,8999
7800,8918,5435,9359,8998
7900,8928,5428,9362,8996
8000,8933,5438,9357,8998
8100,8928,5440,9364,8987
8200,8926,5442,9353,9002
8300,8906,5438,9355,8999
8400,8930,5438,9362,8993
8500,8930,5437,9356,8987
8600,8927,5437,9358,8994
8700,8929,5443,9356,8991
8800,8922,5429,9357,8990
8900,8920,5438,9354,8997
9000,8930,5435,9358,8998
9100,8923,5430,9361,9003
9200,8923,5441,9357,9002
9300,8927,5436,9358,8996
9400,8920,5435,9351,8999
9500,8922,5432,9359,9009
9600,8914,5441,9355,9006
9700,8927,5435,9358,9014
9800,8919,5434,9357,9014
9900,8919,5445,9359,8995
